"Species","data_1","data_2"
"Abudefduf_bengalensis","temporal","no"
"Acanthistius_ocellatus","temporal","no"
"Acanthopagrus_australis","temporal","no"
"Acanthurus_dussumieri","temporal","spatial"
"Achoerodus_viridis","temporal","spatial"
"Aetobatus_narinari","temporal","no"
"Aluterus_monoceros","temporal","no"
"Anampses_caeruleopunctatus","temporal","no"
"Aplodactylus_lophodon","temporal","spatial"
"Apogon_limenus","temporal","no"
"Atypichthys_strigatus","temporal","spatial"
"Aulostomus_chinensis","temporal","spatial"
"Austrolabrus_maculatus","temporal","spatial"
"Bodianus_frenchii","temporal","no"
"Bodianus_perditio","temporal","no"
"Brachaelurus_waddi","temporal","no"
"Canthigaster_callisterna","temporal","no"
"Carcharias_taurus","temporal","no"
"Centropogon_australis","temporal","no"
"Centropyge_tibicen","temporal","no"
"Chaetodon_flavirostris","temporal","no"
"Chaetodon_guentheri","temporal","spatial"
"Chelmonops_truncatus","temporal","no"
"Choerodon_venustus","temporal","no"
"Chromis_hypsilepis","temporal","no"
"Chrysophrys_auratus","temporal","no"
"Coris_dorsomacula","temporal","spatial"
"Coris_picta","temporal","spatial"
"Dasyatis_brevicaudata","temporal","no"
"Dinolestes_lewini","temporal","no"
"Echeneis_naucrates","temporal","no"
"Enoplosus_armatus","temporal","spatial"
"Epinephelus_daemelii","temporal","no"
"Epinephelus_fasciatus","temporal","no"
"Epinephelus_undulatostriatus","temporal","no"
"Eubalichthys_mosaicus","temporal","no"
"Eupetrichthys_angustipes","temporal","no"
"Glaucosoma_scapulare","temporal","no"
"Goniistius_vestitus","temporal","spatial"
"Gymnothorax_prasinus","temporal","no"
"Gymnothorax_prionodon","temporal","no"
"Gymnothorax_thyrsoidea","temporal","no"
"Heniochus_acuminatus","temporal","no"
"Heterodontus_galeatus","temporal","no"
"Hypoplectrodes_maccullochi","temporal","no"
"Kyphosus_sydneyanus","temporal","spatial"
"Labroides_dimidiatus","temporal","spatial"
"Lethrinus_nebulosus","temporal","no"
"Lotella_rhacina","temporal","no"
"Lutjanus_adetii","temporal","no"
"Lutjanus_fulviflamma","temporal","no"
"Lutjanus_russellii","temporal","no"
"Mecaenichthys_immaculatus","temporal","no"
"Meuschenia_flavolineata","temporal","no"
"Meuschenia_freycineti","temporal","no"
"Meuschenia_trachylepis","temporal","no"
"Morwong_fuscus","temporal","spatial"
"Mulloidichthys_vanicolensis","temporal","spatial"
"Myliobatis_australis","temporal","no"
"Nelusetta_ayraud","temporal","no"
"Nemadactylus_douglasii","temporal","no"
"Notolabrus_gymnogenis","temporal","spatial"
"Ophthalmolepis_lineolata","temporal","spatial"
"Orectolobus_halei","temporal","no"
"Orectolobus_maculatus","temporal","no"
"Paracaesio_xanthura","temporal","spatial"
"Parapercis_ramsayi","temporal","no"
"Parapercis_stricticeps","temporal","no"
"Parma_unifasciata","temporal","spatial"
"Parupeneus_multifasciatus","temporal","no"
"Parupeneus_spilurus","temporal","spatial"
"Pempheris_affinis","temporal","spatial"
"Pempheris_compressa","temporal","spatial"
"Pictilabrus_laticlavius","temporal","spatial"
"Platax_teira","temporal","no"
"Plectorhinchus_flavomaculatus","temporal","spatial"
"Prionurus_maculatus","temporal","spatial"
"Prionurus_microlepidotus","temporal","spatial"
"Pseudocaranx_dentex","temporal","spatial"
"Pseudolabrus_guentheri","temporal","spatial"
"Pseudolabrus_luculentus","temporal","spatial"
"Pterocaesio_digramma","temporal","no"
"Rhabdosargus_sarba","temporal","spatial"
"Sarda_australis","temporal","no"
"Schuettea_scalaripinnis","temporal","no"
"Scorpaena_cardinalis","temporal","no"
"Scorpis_lineolata","temporal","spatial"
"Seriola_dumerili","temporal","no"
"Seriola_hippos","temporal","no"
"Seriola_lalandi","temporal","no"
"Seriola_rivoliana","temporal","no"
"Siganus_fuscescens","temporal","spatial"
"Stethojulis_interrupta","temporal","no"
"Sufflamen_chrysopterum","temporal","spatial"
"Synodus_jaculum","temporal","no"
"Thalassoma_lunare","temporal","spatial"
"Thalassoma_lutescens","temporal","spatial"
"Trachinops_taeniatus","temporal","no"
"Trachurus_novaezelandiae","temporal","no"
"Trygonorrhina_fasciata","temporal","no"
"Upeneichthys_lineatus","temporal","no"
"Anampses_neoguinaicus","no","spatial"
"Acanthurus_nigrofuscus","no","spatial"
"Caesio_caerulaurea","no","spatial"
"Choerodon_cephalotes","no","spatial"
"Chaetodon_kleinii","no","spatial"
"Dicotylichthys_punctulatus","no","spatial"
"Girella_elevata","no","spatial"
"Hologymnosus_annulatus","no","spatial"
"Halichoeres_hortulanus","no","spatial"
"Halichoeres_margaritaceus","no","spatial"
"Leptojulis_cyanopleura","no","spatial"
"Naso_unicornis","no","spatial"
"Paracanthurus_hepatus","no","spatial"
"Parma_oligolepis","no","spatial"
"Stegastes_apicalis","no","spatial"
"Stegastes_gascoynei","no","spatial"
"Scarus_ghobban","no","spatial"
"Thalassoma_jansenii","no","spatial"
