Code,Site,Habitat,Replicate
BBI_1,Bare Bluff,Inshore,1
BBI_2,Bare Bluff,Inshore,2
BBI_3,Bare Bluff,Inshore,3
BBI_4,Bare Bluff,Inshore,4
MUI_1,Muttonbird Island,Inshore,1
MUI_2,Muttonbird Island,Inshore,2
MUI_3,Muttonbird Island,Inshore,3
MUI_4,Muttonbird Island,Inshore,4
COI_1,Corindi,Inshore,1
COI_2,Corindi,Inshore,2
COI_3,Corindi,Inshore,3
COI_4,Corindi,Inshore,4
40M_1,40 Acres,Midshelf,1
40M_2,41 Acres,Midshelf,2
40M_3,42 Acres,Midshelf,3
40M_4,43 Acres,Midshelf,4
SBM_1,Split Bommie,Midshelf,1
SBM_2,Split Bommie,Midshelf,2
SBM_3,Split Bommie,Midshelf,3
SBM_4,Split Bommie,Midshelf,4
NWM_1,NW  Solitary,Midshelf,1
NWM_2,NW  Solitary,Midshelf,2
NWM_3,NW  Solitary,Midshelf,3
NWM_4,NW  Solitary,Midshelf,4
NSO_1,North Solitary,Offshore,1
NSO_2,North Solitary,Offshore,2
NSO_3,North Solitary,Offshore,3
NSO_4,North Solitary,Offshore,4
SSO_1,South Solitary,Offshore,1
SSO_2,South Solitary,Offshore,2
SSO_3,South Solitary,Offshore,3
SSO_4,South Solitary,Offshore,4
NWO_1,NW Rock,Offshore,1
NWO_2,NW Rock,Offshore,2
NWO_3,NW Rock,Offshore,3
NWO_4,NW Rock,Offshore,4
