Code,YearID,Site,Year,Replicate
JeffreyShoal1_2002,1,JeffreyShoal,2002,1
JeffreyShoal1_2004,3,JeffreyShoal,2004,1
JeffreyShoal1_2005,4,JeffreyShoal,2005,1
JeffreyShoal1_2006,5,JeffreyShoal,2006,1
JeffreyShoal1_2007,6,JeffreyShoal,2007,1
JeffreyShoal1_2008,7,JeffreyShoal,2008,1
JeffreyShoal1_2009,8,JeffreyShoal,2009,1
JeffreyShoal1_2010,9,JeffreyShoal,2010,1
JeffreyShoal1_2011,10,JeffreyShoal,2011,1
JeffreyShoal1_2013,11,JeffreyShoal,2013,1
JeffreyShoal1_2015,13,JeffreyShoal,2015,1
JeffreyShoal1_2018,14,JeffreyShoal,2018,1
JeffreyShoal2_2002,1,JeffreyShoal,2002,2
JeffreyShoal2_2003,2,JeffreyShoal,2003,2
JeffreyShoal2_2004,3,JeffreyShoal,2004,2
JeffreyShoal2_2005,4,JeffreyShoal,2005,2
JeffreyShoal2_2006,5,JeffreyShoal,2006,2
JeffreyShoal2_2007,6,JeffreyShoal,2007,2
JeffreyShoal2_2008,7,JeffreyShoal,2008,2
JeffreyShoal2_2009,8,JeffreyShoal,2009,2
JeffreyShoal2_2010,9,JeffreyShoal,2010,2
JeffreyShoal2_2011,10,JeffreyShoal,2011,2
JeffreyShoal2_2013,11,JeffreyShoal,2013,2
JeffreyShoal2_2015,13,JeffreyShoal,2015,2
JeffreyShoal2_2018,14,JeffreyShoal,2018,2
JeffreyShoal3_2002,1,JeffreyShoal,2002,3
JeffreyShoal3_2003,2,JeffreyShoal,2003,3
JeffreyShoal3_2004,3,JeffreyShoal,2004,3
JeffreyShoal3_2005,4,JeffreyShoal,2005,3
JeffreyShoal3_2006,5,JeffreyShoal,2006,3
JeffreyShoal3_2007,6,JeffreyShoal,2007,3
JeffreyShoal3_2008,7,JeffreyShoal,2008,3
JeffreyShoal3_2009,8,JeffreyShoal,2009,3
JeffreyShoal3_2010,9,JeffreyShoal,2010,3
JeffreyShoal3_2011,10,JeffreyShoal,2011,3
JeffreyShoal3_2013,11,JeffreyShoal,2013,3
JeffreyShoal3_2015,13,JeffreyShoal,2015,3
JeffreyShoal3_2018,14,JeffreyShoal,2018,3
Sawtell1_2002,1,Sawtell,2002,1
Sawtell1_2003,2,Sawtell,2003,1
Sawtell1_2004,3,Sawtell,2004,1
Sawtell1_2005,4,Sawtell,2005,1
Sawtell1_2006,5,Sawtell,2006,1
Sawtell1_2007,6,Sawtell,2007,1
Sawtell1_2008,7,Sawtell,2008,1
Sawtell1_2009,8,Sawtell,2009,1
Sawtell1_2010,9,Sawtell,2010,1
Sawtell1_2011,10,Sawtell,2011,1
Sawtell1_2013,11,Sawtell,2013,1
Sawtell1_2014,12,Sawtell,2014,1
Sawtell1_2015,13,Sawtell,2015,1
Sawtell1_2018,14,Sawtell,2018,1
Sawtell2_2002,1,Sawtell,2002,2
Sawtell2_2003,2,Sawtell,2003,2
Sawtell2_2004,3,Sawtell,2004,2
Sawtell2_2005,4,Sawtell,2005,2
Sawtell2_2006,5,Sawtell,2006,2
Sawtell2_2007,6,Sawtell,2007,2
Sawtell2_2008,7,Sawtell,2008,2
Sawtell2_2009,8,Sawtell,2009,2
Sawtell2_2010,9,Sawtell,2010,2
Sawtell2_2011,10,Sawtell,2011,2
Sawtell2_2013,11,Sawtell,2013,2
Sawtell2_2014,12,Sawtell,2014,2
Sawtell2_2015,13,Sawtell,2015,2
Sawtell2_2018,14,Sawtell,2018,2
Sawtell3_2002,1,Sawtell,2002,3
Sawtell3_2003,2,Sawtell,2003,3
Sawtell3_2004,3,Sawtell,2004,3
Sawtell3_2005,4,Sawtell,2005,3
Sawtell3_2006,5,Sawtell,2006,3
Sawtell3_2007,6,Sawtell,2007,3
Sawtell3_2008,7,Sawtell,2008,3
Sawtell3_2009,8,Sawtell,2009,3
Sawtell3_2010,9,Sawtell,2010,3
Sawtell3_2011,10,Sawtell,2011,3
Sawtell3_2013,11,Sawtell,2013,3
Sawtell3_2014,12,Sawtell,2014,3
Sawtell3_2015,13,Sawtell,2015,3
Sawtell3_2018,14,Sawtell,2018,3
SplitN1_2002,1,SplitBommieN,2002,1
SplitN1_2003,2,SplitBommieN,2003,1
SplitN1_2004,3,SplitBommieN,2004,1
SplitN1_2005,4,SplitBommieN,2005,1
SplitN1_2006,5,SplitBommieN,2006,1
SplitN1_2007,6,SplitBommieN,2007,1
SplitN1_2008,7,SplitBommieN,2008,1
SplitN1_2009,8,SplitBommieN,2009,1
SplitN1_2010,9,SplitBommieN,2010,1
SplitN1_2011,10,SplitBommieN,2011,1
SplitN1_2013,11,SplitBommieN,2013,1
SplitN1_2014,12,SplitBommieN,2014,1
SplitN1_2015,13,SplitBommieN,2015,1
SplitN1_2018,14,SplitBommieN,2018,1
SplitN2_2002,1,SplitBommieN,2002,2
SplitN2_2003,2,SplitBommieN,2003,2
SplitN2_2004,3,SplitBommieN,2004,2
SplitN2_2005,4,SplitBommieN,2005,2
SplitN2_2006,5,SplitBommieN,2006,2
SplitN2_2007,6,SplitBommieN,2007,2
SplitN2_2008,7,SplitBommieN,2008,2
SplitN2_2009,8,SplitBommieN,2009,2
SplitN2_2010,9,SplitBommieN,2010,2
SplitN2_2011,10,SplitBommieN,2011,2
SplitN2_2013,11,SplitBommieN,2013,2
SplitN2_2014,12,SplitBommieN,2014,2
SplitN2_2015,13,SplitBommieN,2015,2
SplitN2_2018,14,SplitBommieN,2018,2
SplitN3_2002,1,SplitBommieN,2002,3
SplitN3_2003,2,SplitBommieN,2003,3
SplitN3_2004,3,SplitBommieN,2004,3
SplitN3_2005,4,SplitBommieN,2005,3
SplitN3_2006,5,SplitBommieN,2006,3
SplitN3_2007,6,SplitBommieN,2007,3
SplitN3_2008,7,SplitBommieN,2008,3
SplitN3_2009,8,SplitBommieN,2009,3
SplitN3_2010,9,SplitBommieN,2010,3
SplitN3_2011,10,SplitBommieN,2011,3
SplitN3_2013,11,SplitBommieN,2013,3
SplitN3_2014,12,SplitBommieN,2014,3
SplitN3_2015,13,SplitBommieN,2015,3
SplitN3_2018,14,SplitBommieN,2018,3
SplitW1_2002,1,SplitBommieW,2002,1
SplitW1_2003,2,SplitBommieW,2003,1
SplitW1_2004,3,SplitBommieW,2004,1
SplitW1_2005,4,SplitBommieW,2005,1
SplitW1_2006,5,SplitBommieW,2006,1
SplitW1_2007,6,SplitBommieW,2007,1
SplitW1_2008,7,SplitBommieW,2008,1
SplitW1_2009,8,SplitBommieW,2009,1
SplitW1_2010,9,SplitBommieW,2010,1
SplitW1_2011,10,SplitBommieW,2011,1
SplitW1_2013,11,SplitBommieW,2013,1
SplitW1_2014,12,SplitBommieW,2014,1
SplitW1_2015,13,SplitBommieW,2015,1
SplitW1_2018,14,SplitBommieW,2018,1
SplitW2_2002,1,SplitBommieW,2002,2
SplitW2_2003,2,SplitBommieW,2003,2
SplitW2_2004,3,SplitBommieW,2004,2
SplitW2_2005,4,SplitBommieW,2005,2
SplitW2_2006,5,SplitBommieW,2006,2
SplitW2_2007,6,SplitBommieW,2007,2
SplitW2_2008,7,SplitBommieW,2008,2
SplitW2_2009,8,SplitBommieW,2009,2
SplitW2_2010,9,SplitBommieW,2010,2
SplitW2_2011,10,SplitBommieW,2011,2
SplitW2_2013,11,SplitBommieW,2013,2
SplitW2_2014,12,SplitBommieW,2014,2
SplitW2_2015,13,SplitBommieW,2015,2
SplitW2_2018,14,SplitBommieW,2018,2
SplitW3_2002,1,SplitBommieW,2002,3
SplitW3_2003,2,SplitBommieW,2003,3
SplitW3_2004,3,SplitBommieW,2004,3
SplitW3_2005,4,SplitBommieW,2005,3
SplitW3_2006,5,SplitBommieW,2006,3
SplitW3_2008,7,SplitBommieW,2008,3
SplitW3_2009,8,SplitBommieW,2009,3
SplitW3_2010,9,SplitBommieW,2010,3
SplitW3_2011,10,SplitBommieW,2011,3
SplitW3_2013,11,SplitBommieW,2013,3
SplitW3_2014,12,SplitBommieW,2014,3
SplitW3_2015,13,SplitBommieW,2015,3
SplitW3_2018,14,SplitBommieW,2018,3
Whitmore1_2002,1,Whitmore,2002,1
Whitmore1_2003,2,Whitmore,2003,1
Whitmore1_2004,3,Whitmore,2004,1
Whitmore1_2005,4,Whitmore,2005,1
Whitmore1_2006,5,Whitmore,2006,1
Whitmore1_2007,6,Whitmore,2007,1
Whitmore1_2008,7,Whitmore,2008,1
Whitmore1_2009,8,Whitmore,2009,1
Whitmore1_2010,9,Whitmore,2010,1
Whitmore1_2011,10,Whitmore,2011,1
Whitmore1_2013,11,Whitmore,2013,1
Whitmore1_2014,12,Whitmore,2014,1
Whitmore1_2015,13,Whitmore,2015,1
Whitmore1_2018,14,Whitmore,2018,1
Whitmore2_2002,1,Whitmore,2002,2
Whitmore2_2003,2,Whitmore,2003,2
Whitmore2_2004,3,Whitmore,2004,2
Whitmore2_2005,4,Whitmore,2005,2
Whitmore2_2006,5,Whitmore,2006,2
Whitmore2_2008,7,Whitmore,2008,2
Whitmore2_2009,8,Whitmore,2009,2
Whitmore2_2010,9,Whitmore,2010,2
Whitmore2_2011,10,Whitmore,2011,2
Whitmore2_2013,11,Whitmore,2013,2
Whitmore2_2014,12,Whitmore,2014,2
Whitmore2_2015,13,Whitmore,2015,2
Whitmore2_2018,14,Whitmore,2018,2
Whitmore3_2002,1,Whitmore,2002,3
Whitmore3_2003,2,Whitmore,2003,3
Whitmore3_2004,3,Whitmore,2004,3
Whitmore3_2005,4,Whitmore,2005,3
Whitmore3_2006,5,Whitmore,2006,3
Whitmore3_2007,6,Whitmore,2007,3
Whitmore3_2008,7,Whitmore,2008,3
Whitmore3_2009,8,Whitmore,2009,3
Whitmore3_2010,9,Whitmore,2010,3
Whitmore3_2011,10,Whitmore,2011,3
Whitmore3_2013,11,Whitmore,2013,3
Whitmore3_2014,12,Whitmore,2014,3
Whitmore3_2015,13,Whitmore,2015,3
Whitmore3_2018,14,Whitmore,2018,3
