Species,Size,Agg,Position,Diet
Abudefduf_bengalensis,S2,Solitary,BenthoP,PK
Acanthistius_ocellatus,S4,Solitary,Benthic,P
Acanthopagrus_australis,S5,Group,Benthic,OM
Acanthurus_dussumieri,S4,Group,BenthoP,HD
Achoerodus_viridis,S6,Solitary,Benthic,I
Aetobatus_narinari,S6,Solitary,BenthoP,I
Aluterus_monoceros,S5,Solitary,Pelagic,I
Anampses_caeruleopunctatus,S4,Solitary,BenthoP,I
Aplodactylus_lophodon,S4,Solitary,Benthic,HM
Apogon_limenus,S2,Group,BenthoP,PK
Atypichthys_strigatus,S3,Group,BenthoP,PK
Aulostomus_chinensis,S5,Solitary,BenthoP,P
Austrolabrus_maculatus,S2,Solitary,BenthoP,I
Bodianus_frenchii,S4,Solitary,BenthoP,I
Bodianus_perditio,S5,Solitary,BenthoP,I
Brachaelurus_waddi,S6,Solitary,Benthic,I
Canthigaster_callisterna,S3,Solitary,BenthoP,I
Carcharias_taurus,S6,Group,BenthoP,P
Centropogon_australis,S2,Solitary,Benthic,I
Centropyge_tibicen,S3,Group,BenthoP,HD
Chaetodon_flavirostris,S3,Pair,BenthoP,OM
Chaetodon_guentheri,S2,Solitary,BenthoP,OM
Chelmonops_truncatus,S3,Pair,BenthoP,OM
Choerodon_venustus,S5,Solitary,BenthoP,I
Chrysophrys_auratus,S6,Group,BenthoP,I
Chromis_hypsilepis,S2,Group,BenthoP,PK
Coris_dorsomacula,S4,Solitary,BenthoP,I
Coris_picta,S3,Solitary,BenthoP,I
Dasyatis_brevicaudata,S6,Group,Benthic,I
Dinolestes_lewini,S6,Group,BenthoP,P
Echeneis_naucrates,S6,Solitary,BenthoP,I
Enoplosus_armatus,S4,Group,BenthoP,I
Epinephelus_daemelii,S6,Solitary,BenthoP,P
Epinephelus_fasciatus,S4,Solitary,BenthoP,P
Epinephelus_undulatostriatus,S5,Solitary,BenthoP,P
Eubalichthys_mosaicus,S4,Solitary,BenthoP,OM
Eupetrichthys_angustipes,S2,Solitary,BenthoP,I
Glaucosoma_scapulare,S5,Group,BenthoP,P
Goniistius_vestitus,S3,Solitary,BenthoP,I
Gymnothorax_prasinus,S6,Solitary,Benthic,P
Gymnothorax_prionodon,S6,Solitary,Benthic,P
Gymnothorax_thyrsoidea,S5,Pair,Benthic,P
Heniochus_acuminatus,S3,Solitary,BenthoP,PK
Heterodontus_galeatus,S6,Solitary,Benthic,I
Hypoplectrodes_maccullochi,S4,Solitary,Benthic,I
Kyphosus_sydneyanus,S5,Group,Pelagic,HM
Labroides_dimidiatus,S2,Solitary,BenthoP,I
Lethrinus_nebulosus,S6,Group,Benthic,I
Lotella_rhacina,S4,Solitary,Benthic,P
Lutjanus_adetii,S4,Group,BenthoP,I
Lutjanus_fulviflamma,S3,Group,BenthoP,I
Lutjanus_russellii,S4,Group,BenthoP,P
Mecaenichthys_immaculatus,S2,Group,Benthic,PK
Meuschenia_flavolineata,S3,Pair,BenthoP,OM
Meuschenia_freycineti,S4,Solitary,BenthoP,OM
Meuschenia_trachylepis,S4,Solitary,BenthoP,OM
Morwong_fuscus,S5,Solitary,BenthoP,I
Mulloidichthys_vanicolensis,S4,Group,BenthoP,I
Myliobatis_australis,S6,Solitary,Benthic,I
Nelusetta_ayraud,S6,Solitary,BenthoP,P
Nemadactylus_douglasii,S6,Group,BenthoP,I
Notolabrus_gymnogenis,S3,Solitary,BenthoP,I
Ophthalmolepis_lineolata,S4,Solitary,BenthoP,I
Orectolobus_halei,S6,Solitary,Benthic,P
Orectolobus_maculatus,S6,Solitary,Benthic,P
Paracaesio_xanthura,S4,Group,BenthoP,PK
Parapercis_ramsayi,S3,Solitary,Benthic,I
Parapercis_stricticeps,S2,Solitary,Benthic,I
Parma_unifasciata,S2,Solitary,Benthic,HM
Parupeneus_multifasciatus,S3,Group,Benthic,I
Parupeneus_spilurus,S4,Solitary,Benthic,I
Pempheris_affinis,S2,Group,BenthoP,PK
Pempheris_compressa,S3,Group,BenthoP,PK
Pictilabrus_laticlavius,S3,Solitary,BenthoP,I
Platax_teira,S5,Group,Benthic,HM
Plectorhinchus_flavomaculatus,S4,Solitary,BenthoP,P
Prionurus_maculatus,S4,Group,BenthoP,HD
Prionurus_microlepidotus,S5,Group,BenthoP,HD
Pseudocaranx_dentex,S6,Group,BenthoP,P
Pseudolabrus_guentheri,S2,Solitary,BenthoP,I
Pseudolabrus_luculentus,S2,Solitary,BenthoP,I
Pterocaesio_digramma,S3,Group,Pelagic,PK
Rhabdosargus_sarba,S5,Group,Benthic,I
Sarda_australis,S6,Group,Pelagic,P
Schuettea_scalaripinnis,S3,Group,BenthoP,PK
Scorpaena_cardinalis,S2,Solitary,Benthic,P
Scorpis_lineolata,S3,Group,Pelagic,PK
Seriola_dumerili,S6,Group,Pelagic,P
Seriola_hippos,S6,Group,Pelagic,P
Seriola_lalandi,S6,Group,Pelagic,P
Seriola_rivoliana,S6,Group,Pelagic,P
Siganus_fuscescens,S4,Group,BenthoP,HM
Stethojulis_interrupta,S2,Group,Benthic,I
Sufflamen_chrysopterum,S3,Solitary,BenthoP,I
Synodus_jaculum,S3,Solitary,Benthic,I
Thalassoma_lunare,S4,Solitary,BenthoP,I
Thalassoma_lutescens,S3,Group,BenthoP,I
Trachinops_taeniatus,S1,Group,BenthoP,PK
Trachurus_novaezelandiae,S3,Group,BenthoP,PK
Trygonorrhina_fasciata,S6,Solitary,Benthic,I
Upeneichthys_lineatus,S4,Group,BenthoP,I
