Species,sstmean,MaxSizeTL,Diet,Position,Method
Abudefduf_bengalensis,22.8,17,Plktiv,BtPlDw,Otolth
Acanthistius_ocellatus,22.8,45,FisCep,BnthAs,Otolth
Acanthopagrus_australis,22.8,66,Omnivr,BnthDw,Otolth
Acanthurus_dussumieri,22.8,54,HerDet,BtPlDw,Otolth
Acanthurus_nigrofuscus,22.8,21,HerDet,BtPlDw,Otolth
Achoerodus_viridis,22.8,100,InvMob,BnthDw,Otolth
Aetobatus_narinari,22.8,230,InvMob,BtPlDw,Otolth
Aluterus_monoceros,22.8,76.2,InvMob,PelgAs,Otolth
Anampses_caeruleopunctatus,22.8,42,InvMob,BtPlDw,Otolth
Anampses_neoguinaicus,22.8,20,InvSes,BtPlDw,Otolth
Aplodactylus_lophodon,22.8,45,HerMac,BnthDw,Otolth
Apogon_limenus,22.8,14,Plktiv,BtPlDw,Otolth
Atractoscion_atelodus,22.8,51.5,FisCep,PelgDw,Otolth
Atypichthys_strigatus,22.8,25,Plktiv,BtPlDw,Otolth
Aulostomus_chinensis,22.8,80,FisCep,BtPlDw,Otolth
Austrolabrus_maculatus,22.8,12.6,InvMob,BtPlDw,Otolth
Bodianus_frenchii,22.8,45,InvMob,BtPlDw,Otolth
Bodianus_perditio,22.8,80,InvMob,BtPlDw,Otolth
Brachaelurus_waddi,22.8,122,InvMob,BnthAs,Otolth
Caesio_caerulaurea,22.8,35,Plktiv,PelgDw,Otolth
Canthigaster_callisterna,22.8,23,InvMob,BtPlDw,Otolth
Caranx_melampygus,22.8,117,FisCep,PelgAs,Otolth
Caranx_sexfasciatus,22.8,120,FisCep,PelgAs,Otolth
Carcharias_taurus,22.8,330,FisCep,BtPlDw,Otolth
Centropogon_australis,22.8,15,InvMob,BnthAs,Otolth
Centropyge_tibicen,22.8,19,HerDet,BtPlDw,Otolth
Chaetodon_flavirostris,22.8,20,Omnivr,BtPlAs,Otolth
Chaetodon_guentheri,22.8,18,Omnivr,BtPlAs,Otolth
Chaetodon_kleinii,22.8,15,Omnivr,BtPlAs,Otolth
Chelmonops_truncatus,22.8,22,Omnivr,BtPlAs,Otolth
Choerodon_cephalotes,22.8,38,InvMob,BtPlAs,Otolth
Choerodon_venustus,22.8,65,InvMob,BtPlAs,Otolth
Chromis_hypsilepis,22.8,16,Plktiv,BtPlDw,Otolth
Chromis_weberi,22.8,13.5,Plktiv,BtPlDw,Otolth
Chrysophrys_auratus,22.8,130,InvMob,BtPlAs,Otolth
Cirrhilabrus_punctatus,22.8,13,InvMob,BtPlDw,Otolth
Cirrhitichthys_aprinus,22.8,12.5,InvMob,BtPlDw,Otolth
Coris_aygula,22.8,120,InvMob,BtPlDw,Otolth
Coris_dorsomacula,22.8,38,InvMob,BtPlDw,Otolth
Coris_picta,22.8,25,InvMob,BtPlDw,Otolth
Dasyatis_brevicaudata,22.8,430,InvMob,BnthAs,Otolth
Dasyatis_thetidis,22.8,260,InvMob,BnthAs,Otolth
Dicotylichthys_punctulatus,22.8,40,InvMob,BtPlDw,Otolth
Dinolestes_lewini,22.8,84,FisCep,BtPlDw,Otolth
Echeneis_naucrates,22.8,110,InvMob,BtPlDw,Otolth
Enoplosus_armatus,22.8,50,InvMob,BtPlDw,Otolth
Epinephelus_cyanopodus,22.8,122,FisCep,BtPlDw,Otolth
Epinephelus_daemelii,22.8,200,FisCep,BtPlDw,Otolth
Epinephelus_fasciatus,22.8,40,FisCep,BtPlDw,Otolth
Epinephelus_undulatostriatus,22.8,61,FisCep,BtPlDw,Otolth
Eubalichthys_mosaicus,22.8,60,Omnivr,BtPlAs,Otolth
Eupetrichthys_angustipes,22.8,12.4,InvMob,BtPlDw,Otolth
Girella_elevata,22.8,62,HerMac,BtPlDw,Otolth
Glaucosoma_scapulare,22.8,70,FisCep,BtPlDw,Otolth
Gnathanodon_speciosus,22.8,120,FisCep,PelgAs,Otolth
Goniistius_vestitus,22.8,35,InvMob,BtPlAs,Otolth
Gymnothorax_prasinus,22.8,91.5,FisCep,BnthAs,Otolth
Gymnothorax_prionodon,22.8,150,FisCep,BnthAs,Otolth
Gymnothorax_thyrsoidea,22.8,73.2,FisCep,BnthAs,Otolth
Halichoeres_hortulanus,22.8,27,InvMob,BtPlDw,Otolth
Halichoeres_margaritaceus,22.8,12.5,InvMob,BtPlDw,Otolth
Halichoeres_nebulosus,22.8,12,InvMob,BtPlDw,Otolth
Heniochus_acuminatus,22.8,25,Plktiv,BtPlAs,Otolth
Heterodontus_galeatus,22.8,152,InvMob,BnthAs,Otolth
Hologymnosus_annulatus,22.8,40,FisCep,BtPlAs,Otolth
Hypoplectrodes_maccullochi,22.8,45,InvMob,BnthAs,Otolth
Kyphosus_sydneyanus,22.8,80,HerMac,PelgDw,Otolth
Labroides_dimidiatus,22.8,14,InvMob,BtPlAs,Otolth
Leptojulis_cyanopleura,22.8,13,Plktiv,BtPlDw,Otolth
Lethrinus_nebulosus,22.8,87,InvMob,BnthAs,Otolth
Lotella_rhacina,22.8,50,FisCep,BnthAs,Otolth
Lutjanus_adetii,22.8,50,InvMob,BtPlDw,Otolth
Lutjanus_fulviflamma,22.8,35,InvMob,BtPlDw,Otolth
Lutjanus_russellii,22.8,50,FisCep,BtPlDw,Otolth
Mecaenichthys_immaculatus,22.8,12,Plktiv,BnthAs,Otolth
Meuschenia_flavolineata,22.8,30,Omnivr,BtPlDw,Otolth
Meuschenia_freycineti,22.8,60,Omnivr,BtPlDw,Otolth
Meuschenia_scaber,22.8,31,Omnivr,BtPlDw,Otolth
Meuschenia_trachylepis,22.8,40,Omnivr,BtPlDw,Otolth
Microcanthus_strigatus,22.8,16,Omnivr,BtPlDw,Otolth
Morwong_fuscus,22.8,65,InvMob,BtPlAs,Otolth
Mulloidichthys_vanicolensis,22.8,38,InvMob,BtPlDw,Otolth
Myliobatis_australis,22.8,120,InvMob,BnthAs,Otolth
Naso_unicornis,22.8,70,HerMac,BtPlDw,Otolth
Nelusetta_ayraud,22.8,100,FisCep,BtPlDw,Otolth
Nemadactylus_douglasii,22.8,81,InvMob,BtPlDw,Otolth
Notolabrus_gymnogenis,22.8,23,InvMob,BtPlDw,Otolth
Ophthalmolepis_lineolata,22.8,40,InvMob,BtPlDw,Otolth
Orectolobus_halei,22.8,256,FisCep,BnthAs,Otolth
Orectolobus_maculatus,22.8,320,FisCep,BnthAs,Otolth
Paracaesio_xanthura,22.8,50,Plktiv,BtPlAs,Otolth
Paracanthurus_hepatus,22.8,31,Plktiv,BnthDw,Otolth
Parapercis_ramsayi,22.8,20,InvMob,BnthDw,Otolth
Parapercis_stricticeps,22.8,18,InvMob,BnthDw,Otolth
Paraplesiops_bleekeri,22.8,40,InvMob,BnthDw,Otolth
Parma_oligolepis,22.8,16.5,HerMac,BnthDw,Otolth
Parma_unifasciata,22.8,18,HerMac,BnthDw,Otolth
Parupeneus_multifasciatus,22.8,35,InvMob,BnthDw,Otolth
Parupeneus_spilurus,22.8,50,InvMob,BnthDw,Otolth
Pempheris_affinis,22.8,15,Plktiv,BtPlDw,Otolth
Pempheris_compressa,22.8,20,Plktiv,BtPlDw,Otolth
Pictilabrus_laticlavius,22.8,23,InvMob,BtPlDw,Otolth
Plagiotremus_tapeinosoma,22.8,14,FisCep,BnthAs,Otolth
Platax_teira,22.8,70,HerMac,BnthDw,Otolth
Plectorhinchus_flavomaculatus,22.8,60,FisCep,BtPlDw,Otolth
Pomacentrus_coelestis,22.8,9,Plktiv,BnthDw,Otolth
Prionurus_maculatus,22.8,45,HerDet,BtPlDw,Otolth
Prionurus_microlepidotus,22.8,70,HerDet,BtPlDw,Otolth
Pseudocaranx_dentex,22.8,122,FisCep,BtPlAs,Otolth
Pseudolabrus_guentheri,22.8,18,InvMob,BtPlDw,Otolth
Pseudolabrus_luculentus,22.8,17,InvMob,BtPlDw,Otolth
Pterocaesio_digramma,22.8,30,Plktiv,PelgDw,Otolth
Rachycentron_canadum,22.8,200,FisCep,PelgAs,Otolth
Rhabdosargus_sarba,22.8,80,InvMob,BnthAs,Otolth
Sarda_australis,22.8,180,FisCep,PelgAs,Otolth
Scarus_ghobban,22.8,75,HerDet,BtPlDw,Otolth
Schuettea_scalaripinnis,22.8,20,Plktiv,BtPlDw,Otolth
Scorpaena_cardinalis,22.8,18,FisCep,BnthDw,Otolth
Scorpis_lineolata,22.8,30,Plktiv,PelgDw,Otolth
Seriola_dumerili,22.8,190,FisCep,PelgAs,Otolth
Seriola_hippos,22.8,150,FisCep,PelgAs,Otolth
Seriola_lalandi,22.8,250,FisCep,PelgAs,Otolth
Seriola_rivoliana,22.8,160,FisCep,PelgAs,Otolth
Seriolina_nigrofasciata,22.8,70,FisCep,PelgAs,Otolth
Siganus_fuscescens,22.8,40,HerMac,BtPlDw,Otolth
Stegastes_apicalis,22.8,15,HerDet,BnthDw,Otolth
Stegastes_gascoynei,22.8,15,HerDet,BnthDw,Otolth
Stethojulis_interrupta,22.8,13,InvMob,BnthDw,Otolth
Sufflamen_chrysopterum,22.8,30,InvMob,BtPlDw,Otolth
Synodus_jaculum,22.8,20,InvMob,BnthAs,Otolth
Thalassoma_jansenii,22.8,20,InvMob,BtPlDw,Otolth
Thalassoma_lunare,22.8,45,InvMob,BtPlDw,Otolth
Thalassoma_lutescens,22.8,30,InvMob,BtPlDw,Otolth
Trachinops_taeniatus,22.8,10,Plktiv,BtPlAs,Otolth
Trachurus_novaezelandiae,22.8,20,Plktiv,BtPlAs,Otolth
Trachypoma_macracanthus,22.8,22,FisCep,BnthAs,Otolth
Trygonorrhina_fasciata,22.8,120,InvMob,BnthAs,Otolth
Upeneichthys_lineatus,22.8,40,InvMob,BtPlAs,Otolth
Zanclus_cornutus,22.8,23,InvSes,BtPlDw,Otolth
