Species,Size,Agg,Position,Diet
Aulostomus_chinensis,S5,Solitary,BenthoP,P
Acanthurus_dussumieri,S5,Group,BenthoP,G
Austrolabrus_maculatus,S2,Solitary,BenthoP,I
Anampses_neoguinaicus,S3,Solitary,BenthoP,I
Acanthurus_nigrofuscus,S3,Group,BenthoP,G
Atypichthys_strigatus,S3,Group,BenthoP,PK
Achoerodus_viridis,S6,Solitary,BenthoP,I
Caesio_caerulaurea,S4,Group,Benthic,PK
Choerodon_cephalotes,S4,Solitary,BenthoP,I
Coris_dorsomacula,S4,Solitary,BenthoP,I
Chaetodon_guentheri,S3,Solitary,BenthoP,OM
Chaetodon_kleinii,S2,Solitary,BenthoP,OM
Aplodactylus_lophodon,S4,Solitary,Benthic,B
Coris_picta,S3,Solitary,BenthoP,I
Goniistius_vestitus,S4,Solitary,BenthoP,I
Dicotylichthys_punctulatus,S4,Solitary,BenthoP,I
Enoplosus_armatus,S4,Group,BenthoP,I
Girella_elevata,S5,Group,BenthoP,B
Hologymnosus_annulatus,S4,Solitary,BenthoP,P
Halichoeres_hortulanus,S3,Solitary,BenthoP,I
Halichoeres_margaritaceus,S2,Solitary,BenthoP,I
Kyphosus_sydneyanus,S5,Group,BenthoP,B
Leptojulis_cyanopleura,S2,Group,BenthoP,PK
Labroides_dimidiatus,S2,Solitary,BenthoP,I
Morwong_fuscus,S5,Solitary,Benthic,I
Mulloidichthys_vanicolensis,S4,Group,BenthoP,I
Notolabrus_gymnogenis,S3,Solitary,BenthoP,I
Naso_unicornis,S5,Solitary,BenthoP,B
Ophthalmolepis_lineolata,S4,Solitary,BenthoP,I
Pempheris_affinis,S2,Group,BenthoP,PK
Plectorhinchus_flavomaculatus,S5,Solitary,BenthoP,P
Pseudolabrus_guentheri,S3,Solitary,BenthoP,I
Paracanthurus_hepatus,S4,Solitary,BenthoP,OM
Pictilabrus_laticlavius,S3,Solitary,BenthoP,I
Pseudolabrus_luculentus,S3,Solitary,BenthoP,I
Prionurus_maculatus,S4,Group,BenthoP,G
Prionurus_microlepidotus,S5,Group,BenthoP,G
Parma_oligolepis,S3,Solitary,BenthoP,HD
Parupeneus_spilurus,S4,Solitary,BenthoP,I
Parma_unifasciata,S3,Solitary,BenthoP,HD
Paracaesio_xanthura,S4,Group,Pelagic,PK
Rhabdosargus_sarba,S5,Group,BenthoP,I
Stegastes_apicalis,S2,Solitary,BenthoP,G
Sufflamen_chrysopterum,S3,Solitary,BenthoP,I
Stegastes_gascoynei,S2,Solitary,BenthoP,G
Scarus_ghobban,S5,Solitary,BenthoP,HD
Scorpis_lineolata,S3,Group,Benthic,PK
Siganus_fuscescens,S4,Group,BenthoP,B
Thalassoma_jansenii,S3,Group,BenthoP,I
Thalassoma_lunare,S4,Solitary,BenthoP,I
Thalassoma_lutescens,S3,Group,BenthoP,I
