Species,Agg,Diet,Size,Position
Abudefduf bengalensis,Solitary,OM,S3,BenthoP
Acanthistius ocellatus,Solitary,P,S4,Benthic
Acanthopagrus australis,Group,OM,S5,BenthoP
Acanthurus dussumieri,Group,G,S5,BenthoP
Achoerodus viridis,Solitary,I,S6,BenthoP
Aetobatus narinari,Solitary,I,S6,BenthoP
Aluterus monoceros,Solitary,I,S5,BenthoP
Anampses caeruleopunctatus,Solitary,I,S4,BenthoP
Aplodactylus lophodon,Solitary,B,S4,Benthic
Apogon limenus,Group,I,S2,BenthoP
Atypichthys strigatus,Group,PK,S3,BenthoP
Aulostomus chinensis,Solitary,P,S5,BenthoP
Austrolabrus maculatus,Solitary,I,S2,BenthoP
Bodianus frenchii,Solitary,I,S4,BenthoP
Bodianus perditio,Solitary,I,S5,BenthoP
Brachaelurus waddi,Solitary,I,S6,Benthic
Canthigaster callisterna,Solitary,I,S3,BenthoP
Carcharias taurus,Group,P,S6,BenthoP
Centropogon australis,Solitary,I,S2,Benthic
Centropyge tibicen,Group,HD,S3,BenthoP
Chaetodon flavirostris,Pair,O,S3,BenthoP
Chaetodon guentheri,Solitary,O,S3,BenthoP
Chelmonops truncatus,Pair,O,S3,BenthoP
Choerodon venustus,Solitary,I,S5,BenthoP
Chrysophrys auratus,Group,I,S6,BenthoP
Chromis hypsilepis,Group,PK,S3,BenthicP
Coris dorsomacula,Solitary,I,S4,BenthoP
Coris picta,Solitary,I,S3,BenthoP
Dasyatis brevicaudata,Group,I,S6,Benthic
Dinolestes lewini,Group,P,S6,BenthoP
Echeneis naucrates,Solitary,I,S6,BenthoP
Enoplosus armatus,Group,I,S4,BenthoP
Epinephelus daemelii,Solitary,P,S6,BenthoP
Epinephelus fasciatus,Solitary,P,S4,BenthoP
Epinephelus undulatostriatus,Solitary,P,S5,BenthoP
Eubalichthys mosaicus,Solitary,I,S5,BenthoP
Eupetrichthys angustipes,Solitary,I,S2,BenthoP
Glaucosoma scapulare,Group,P,S5,BenthoP
Gomphosus varius,Solitary,I,S3,BenthoP
Gymnothorax prasinus,Solitary,P,S6,Benthic
Gymnothorax prionodon,Solitary,P,S6,Benthic
Gymnothorax thyrsoidea,Pair,P,S5,Benthic
Heniochus acuminatus,Solitary,PK,S3,BenthoP
Heterodontus galeatus,Solitary,I,S6,Benthic
Hypoplectrodes maccullochi,Solitary,I,S4,BenthoP
Kyphosus sydneyanus,Group,B,S5,BenthoP
Labroides dimidiatus,Solitary,I,S2,BenthoP
Lethrinus nebulosus,Group,I,S6,BenthoP
Lotella rhacina,Solitary,P,S4,Benthic
Lutjanus adetii,Group,P,S4,BenthoP
Lutjanus fulviflamma,Group,P,S4,BenthoP
Lutjanus russellii,Group,P,S4,BenthoP
Mecaenichthys immaculatus,Group,PK,S2,BenthoP
Meuschenia flavolineata,Pair,HD,S3,BenthoP
Meuschenia freycineti,Solitary,O,S5,BenthoP
Meuschenia trachylepis,Solitary,O,S4,BenthoP
Morwong fuscus,Solitary,I,S5,Benthic
Mulloidichthys vanicolensis,Group,I,S4,BenthoP
Myliobatis australis,Solitary,I,S6,Benthic
Nelusetta ayraud,Solitary,P,S6,BenthoP
Nemadactylus douglasii,Group,I,S6,BenthoP
Notolabrus gymnogenis,Solitary,I,S3,BenthoP
Ophthalmolepis lineolata,Solitary,I,S4,BenthoP
Orectolobus halei,Solitary,P,S6,Benthic
Orectolobus maculatus,Solitary,P,S6,Benthic
Paracaesio xanthura,Group,PK,S4,Pelagic
Parapercis ramsayi,Solitary,I,S3,Benthic
Parapercis stricticeps,Solitary,I,S3,Benthic
Parma unifasciata,Solitary,HD,S3,BenthoP
Parupeneus multifasciatus,Group,I,S4,BenthoP
Parupeneus spilurus,Solitary,I,S4,BenthoP
Pempheris affinis,Group,PK,S2,BenthoP
Pempheris compressa,Group,PK,S3,BenthoP
Pictilabrus laticlavius,Solitary,I,S3,BenthoP
Platax teira,Group,B,S5,BenthoP
Plectorhinchus flavomaculatus,Solitary,P,S5,BenthoP
Prionurus maculatus,Group,G,S4,BenthoP
Prionurus microlepidotus,Group,G,S5,BenthoP
Pseudocaranx dentex,Group,P,S6,BenthoP
Pseudolabrus guentheri,Solitary,I,S3,BenthoP
Pseudolabrus luculentus,Solitary,I,S3,BenthoP
Pterocaesio digramma,Group,PK,S3,Pelagic
Rhabdosargus sarba,Group,I,S5,BenthoP
Sarda australis,Group,P,S6,Pelagic
Schuettea scalaripinnis,Group,PK,S3,BenthoP
Scorpaena cardinalis,Solitary,I,S4,Benthic
Scorpis lineolata,Group,PK,S3,Benthic
Seriola dumerili,Group,P,S6,Pelagic
Seriola hippos,Group,P,S6,Pelagic
Seriola lalandi,Group,P,S6,Pelagic
Seriola rivoliana,Group,P,S6,Pelagic
Siganus fuscescens,Group,B,S4,BenthoP
Stethojulis interrupta,Group,I,S2,BenthoP
Sufflamen chrysopterum,Solitary,I,S3,BenthoP
Synodus jaculum,Solitary,I,S2,Benthic
Thalassoma lunare,Solitary,I,S4,BenthoP
Thalassoma lutescens,Group,I,S3,BenthoP
Trachinops taeniatus,Group,PK,S2,BenthoP
Trachurus novaezelandiae,Group,PK,S4,BenthoP
Trygonorrhina fasciata,Solitary,I,S6,Benthic
Upeneichthys lineatus,Group,I,S4,BenthoP
