"trait","axis","test","stat","value","p.value"
"Size","PC1","Kruskal-Wallis","eta2",0.12,8e-04
"Size","PC2","Kruskal-Wallis","eta2",0.812,0
"Size","PC3","Kruskal-Wallis","eta2",0.029,0.115
"Agg","PC1","Kruskal-Wallis","eta2",0.755,0
"Agg","PC2","Kruskal-Wallis","eta2",0.034,0.0375
"Agg","PC3","Kruskal-Wallis","eta2",0.024,0.0735
"Position","PC1","Kruskal-Wallis","eta2",0.31,0
"Position","PC2","Kruskal-Wallis","eta2",0.126,1e-04
"Position","PC3","Kruskal-Wallis","eta2",-0.007,0.6038
"Diet","PC1","Kruskal-Wallis","eta2",0.33,0
"Diet","PC2","Kruskal-Wallis","eta2",0.593,0
"Diet","PC3","Kruskal-Wallis","eta2",0.729,0
"Kmax","PC1","Linear Model","r2",0.039,0.0204
"Kmax","PC2","Linear Model","r2",0.636,0
"Kmax","PC3","Linear Model","r2",0.021,0.0922
